time,signal_clean,signal_noisy
0.0,1.8000000000031158,1.746259000236852
0.0001,1.8,1.8138399274009727
0.0002,1.8,1.7595544925226165
0.00030000000000000003,1.8,1.7842964022408896
0.0004,1.8,1.6746462350239262
0.0005,1.8,1.793914871732646
0.0006000000000000001,1.8,1.587410007882534
0.0007,1.8,1.7994369206866032
0.0008,1.8,1.6269330999522351
0.0009000000000000001,1.8,2.0391922778239455
0.001,1.8,2.0887436266608503
0.0011,1.8,1.4396425731492744
0.0012000000000000001,1.8,1.9564194215026496
0.0013000000000000002,1.8,1.6576350298951166
0.0014,1.8,1.9784617540438698
0.0015,1.8,1.646931301585051
0.0016,1.8,2.020212987708995
0.0017000000000000001,1.8,1.9456690112368151
0.0018000000000000002,1.8,1.4869117330223878
0.0019,1.8,1.8616705249204246
0.002,1.8,2.1664028890317817
0.0021000000000000003,4.7967356262966945,4.54767392591974
0.0022,4.897556563092648,4.570732131079457
0.0023,4.996255150105482,4.954473315857634
0.0024000000000000002,5.092862902702148,5.183750976483476
0.0025,5.18740617746121,5.3399899171602945
0.0026000000000000003,5.279906904359001,5.201127919447945
0.0027,5.370383200013016,5.513124630500931
0.0028,5.458849885026942,5.271719397006508
0.0029000000000000002,5.545318923354753,5.693429946167202
0.003,5.629799797751405,5.551937606945601
0.0031000000000000003,5.712299832454887,5.863560418186899
0.0032,5.792824472002844,5.591838793908816
0.0033,5.871377523351661,5.789635501699156
0.0034000000000000002,5.947961367110629,5.85929181348837
0.0035,6.022577142636722,5.992974192069857
0.0036000000000000003,6.095224910888784,6.043021121588364
0.0037,6.1659037982633125,6.29421117604521
0.0038,6.234612124089669,6.207272500546138
0.0039000000000000003,6.301347514021735,6.486677966367852
0.004,6.36610700120408,5.894275392438107
0.0041,6.4288871167965365,6.4235697771399405
0.004200000000000001,6.489683971199007,6.645351954261911
0.0043,6.548493327117722,6.6862693458596
0.0044,6.605310665447539,6.599168430161183
0.0045000000000000005,6.660131244805464,6.852143868496532
0.0046,6.712950155433677,6.677809972168293
0.0047,6.763762368091807,6.754645030079641
0.0048000000000000004,6.812562778474728,6.782989021313629
0.0049,6.859346247621393,6.955494607813873
0.005,6.904107638719721,7.062125484525954
0.0051,6.946841850660902,6.675477443357705
0.005200000000000001,6.987543848652039,6.976266601131998
0.0053,7.026208692157803,6.986329514530909
0.0054,7.062831560408627,6.854137558521248
0.0055000000000000005,7.097407775684277,7.091964991613291
0.0056,7.129932824556621,6.916127109372432
0.0057,7.1604023772535195,7.136390281277091
0.0058000000000000005,7.188812305286658,7.229139906503157
0.0059,7.215158697469206,6.932640344140357
0.006,7.239437874434346,7.0965002348789215
0.0061,7.261646401752459,7.209946517716801
0.006200000000000001,7.281781101732993,7.3756032770786355
0.0063,7.299839063986509,7.061919638858
0.0064,7.315817654812927,7.145422517970784
0.006500000000000001,7.329714525473384,7.082889464788723
0.0066,7.3415276193953725,6.870218416870726
0.0067,7.351255178353651,7.361461159017876
0.0068000000000000005,7.358895747662808,7.373159186533999
0.006900000000000001,7.364448180411253,7.270552187018175
0.007,7.367911640760638,7.508759199568441
0.0071,7.369285606329207,7.102182935692566
0.007200000000000001,7.368569869672428,7.257165428389761
0.0073,7.365764538869056,7.080107680617303
0.0074,7.360870037215922,7.470453179249879
0.007500000000000001,7.353887102029745,7.215999138625007
0.0076,7.344816782549318,7.444028615474221
0.0077,7.3336604369263805,6.9610358884925105
0.0078000000000000005,7.320419728288345,7.493053340913482
0.0079,7.305096619850599,7.5558635406722345
0.008,7.2876933690504835,7.13318108046234
0.0081,7.268212520669055,7.33588432432051
0.0082,7.246656898900218,7.079395129683199
0.0083,7.223029598319968,7.214267408615695
0.008400000000000001,7.197333973700762,7.396333328568679
0.0085,7.16957362860787,7.285406138048838
0.0086,7.139752402705256,7.094147423052019
0.008700000000000001,7.107874357688432,7.140268230822485
0.0088,7.073943761750321,7.201804354370683
0.0089,7.037965072473475,7.213744473325432
0.009000000000000001,6.999942918027572,7.022748949959759
0.0091,6.959882076535007,7.121070969170957
0.0092,6.917787453448887,7.028103033243084
0.009300000000000001,6.873664056766845,6.499592939857329
0.0094,6.827516969880098,6.978027552307586
0.0095,6.779351321829679,6.82572763573439
0.009600000000000001,6.729172254710132,6.815099275495464
0.0097,6.676984887924421,6.809537463250632
0.0098,6.622794278951393,6.933918038878641
0.0099,6.566605380237935,6.719367086798845
0.01,6.508422991770406,6.285374597476133
0.010100000000000001,6.448251708812588,6.816590463013714
0.0102,6.386095864218213,6.442861342709685
0.0103,6.321959464632642,6.3636839658894555
0.010400000000000001,6.25584611978754,6.061639626799986
0.0105,6.1877589639605715,6.222027599566763
0.0106,6.1177005685146915,6.319006470933474
0.010700000000000001,6.045672844242474,5.943329450277539
0.0108,5.9716769320129295,5.924230947023689
0.0109,5.895713079941677,6.013123772871837
0.011000000000000001,5.817780504968511,5.990516452059696
0.0111,5.7378772363133725,5.62610455266677
0.0112,5.655999937772789,5.686039334417573
0.011300000000000001,5.572143705187424,5.747633545317154
0.0114,5.486301834623068,5.692313084005121
0.0115,5.398465555815995,5.500357065268724
0.011600000000000001,5.3086237241778305,5.27571990851479
0.0117,5.216762463051119,5.115002922081398
0.0118,5.1228647458409675,5.111940868020589
0.0119,5.02690990496254,4.846183641342736
0.012,4.928873051018412,4.776871360130166
0.012100000000000001,4.828724380940827,4.658515541445096
0.0122,4.726428347553045,4.659849194115952
0.0123,4.621942654465097,4.438111425832694
0.012400000000000001,4.515217028451355,4.362648348098222
0.0125,4.406191704993264,4.406845566874282
0.0126,4.294795539252837,3.9098060282671394
0.012700000000000001,4.18094362082112,4.145604122610137
0.0128,4.06453422044166,4.1852215922619225
0.0129,3.9454448210833997,3.940191211264005
0.013000000000000001,3.823526868110215,3.7864132498852583
0.0131,3.6985986854515263,4.00768941741359
0.0132,3.5704356945737326,3.5607270431591456
0.013300000000000001,3.438756541032882,3.6421030871430315
0.0134,3.3032027785390454,3.2389006108175424
0.0135,3.1633079521807215,3.2880779573330465
0.013600000000000001,3.0184482673840294,2.8505570351063954
0.0137,2.8677590200275755,2.752369791128247
0.013800000000000002,2.7099814821153028,3.043323205514107
0.013900000000000001,2.543150481341982,2.852368717443772
0.014,2.363846961555085,2.3313467188395642
0.014100000000000001,2.164860933900062,2.4826646298439963
0.0142,1.9214200125405512,1.7358440108804651
