n_layers,units,dropout,n_segments,val_loss,hidden
3,32,0.05,6,0.04573404788970947,"[32, 32, 32]"
1,32,0.05,2,0.04575414955615997,[32]
3,64,0.15,5,0.04594042897224426,"[64, 64, 64]"
2,32,0.05,8,0.04640624672174454,"[32, 32]"
2,128,0.45,5,0.04651258513331413,"[128, 128]"
1,128,0.15,4,0.04661139100790024,[128]
3,128,0.3,5,0.046692147850990295,"[128, 128, 128]"
1,32,0.3,2,0.04671690985560417,[32]
2,128,0.3,5,0.04693548008799553,"[128, 128]"
1,128,0.3,4,0.04706309363245964,[128]
3,64,0.3,5,0.04724065959453583,"[64, 64, 64]"
3,64,0.05,5,0.04816966503858566,"[64, 64, 64]"
1,128,0.15,5,0.04859386384487152,[128]
3,32,0.15,4,0.0487874411046505,"[32, 32, 32]"
3,128,0.45,6,0.04878855496644974,"[128, 128, 128]"
3,32,0.3,4,0.0489523783326149,"[32, 32, 32]"
1,64,0.05,4,0.049186740070581436,[64]
2,128,0.45,6,0.04940854385495186,"[128, 128]"
3,64,0.05,6,0.049536969512701035,"[64, 64, 64]"
2,32,0.3,4,0.04957600682973862,"[32, 32]"
1,128,0.3,5,0.04994260519742966,[128]
2,64,0.3,5,0.05026596784591675,"[64, 64]"
1,64,0.3,6,0.05033094063401222,[64]
3,64,0.45,4,0.05046894773840904,"[64, 64, 64]"
3,128,0.15,7,0.050503965467214584,"[128, 128, 128]"
1,128,0.05,8,0.050576094537973404,[128]
1,64,0.15,4,0.0507858581840992,[64]
1,128,0.05,5,0.0508117713034153,[128]
2,64,0.45,4,0.05097673833370209,"[64, 64]"
1,128,0.15,6,0.050986502319574356,[128]
1,32,0.05,6,0.051062390208244324,[32]
3,32,0.45,8,0.0511922761797905,"[32, 32, 32]"
1,128,0.3,6,0.051259465515613556,[128]
3,64,0.45,6,0.05151565000414848,"[64, 64, 64]"
3,128,0.05,7,0.05175841599702835,"[128, 128, 128]"
2,32,0.3,5,0.051779553294181824,"[32, 32]"
3,128,0.15,5,0.05188019573688507,"[128, 128, 128]"
1,128,0.45,4,0.052606821060180664,[128]
3,64,0.3,7,0.052611466497182846,"[64, 64, 64]"
1,128,0.3,8,0.05312395840883255,[128]
2,32,0.3,6,0.05324845388531685,"[32, 32]"
2,64,0.45,6,0.053263112902641296,"[64, 64]"
1,128,0.15,8,0.05339258536696434,[128]
1,128,0.45,6,0.05378928780555725,[128]
3,64,0.05,7,0.05383768677711487,"[64, 64, 64]"
3,128,0.45,7,0.053908172994852066,"[128, 128, 128]"
1,32,0.15,6,0.05426663160324097,[32]
1,64,0.3,4,0.05439605936408043,[64]
3,32,0.15,5,0.05455322936177254,"[32, 32, 32]"
1,64,0.05,5,0.05468645319342613,[64]
1,32,0.15,4,0.05478763207793236,[32]
2,32,0.45,8,0.05507749691605568,"[32, 32]"
1,32,0.05,4,0.055577412247657776,[32]
1,64,0.15,8,0.055804114788770676,[64]
3,32,0.3,5,0.055973537266254425,"[32, 32, 32]"
2,64,0.45,5,0.05598894879221916,"[64, 64]"
3,128,0.3,7,0.056094493716955185,"[128, 128, 128]"
1,64,0.15,5,0.056186478585004807,[64]
1,64,0.05,6,0.05659876763820648,[64]
1,128,0.45,8,0.05667857825756073,[128]
3,32,0.3,6,0.05699814110994339,"[32, 32, 32]"
3,128,0.45,5,0.05777609348297119,"[128, 128, 128]"
3,32,0.15,7,0.05787377804517746,"[32, 32, 32]"
3,32,0.45,6,0.05797317251563072,"[32, 32, 32]"
1,64,0.45,6,0.058480337262153625,[64]
1,64,0.3,5,0.05857592448592186,[64]
2,128,0.3,7,0.058699849992990494,"[128, 128]"
3,32,0.05,7,0.05921110510826111,"[32, 32, 32]"
1,128,0.45,5,0.05943235754966736,[128]
1,64,0.45,4,0.05951442942023277,[64]
2,32,0.05,7,0.059559423476457596,"[32, 32]"
2,64,0.05,7,0.060247812420129776,"[64, 64]"
2,64,0.3,7,0.060924794524908066,"[64, 64]"
2,32,0.45,5,0.060930285602808,"[32, 32]"
1,32,0.3,6,0.06124412268400192,[32]
2,32,0.45,6,0.0613558329641819,"[32, 32]"
1,64,0.05,8,0.06179748848080635,[64]
1,32,0.3,4,0.06197430193424225,[32]
1,32,0.45,6,0.06221870332956314,[32]
3,64,0.15,7,0.0625125914812088,"[64, 64, 64]"
3,32,0.45,4,0.06258708238601685,"[32, 32, 32]"
2,32,0.15,7,0.06258883327245712,"[32, 32]"
3,64,0.45,5,0.06297498196363449,"[64, 64, 64]"
2,128,0.15,7,0.06299325078725815,"[128, 128]"
1,64,0.3,8,0.0632164478302002,[64]
1,64,0.45,8,0.06400328129529953,[64]
2,128,0.45,7,0.06432628631591797,"[128, 128]"
1,32,0.05,8,0.06444169580936432,[32]
1,32,0.15,8,0.06445629149675369,[32]
1,32,0.15,5,0.06461718678474426,[32]
2,64,0.15,7,0.06501077860593796,"[64, 64]"
1,32,0.05,5,0.06515815854072571,[32]
3,64,0.45,7,0.06519673764705658,"[64, 64, 64]"
2,128,0.05,7,0.06578217446804047,"[128, 128]"
2,32,0.3,7,0.06662804633378983,"[32, 32]"
3,32,0.3,7,0.06702772527933121,"[32, 32, 32]"
3,32,0.45,5,0.06797997653484344,"[32, 32, 32]"
1,32,0.45,4,0.06808816641569138,[32]
2,32,0.45,4,0.06880181282758713,"[32, 32]"
1,64,0.45,5,0.06884326040744781,[64]
2,64,0.45,7,0.0693441852927208,"[64, 64]"
1,128,0.15,7,0.07065589725971222,[128]
1,128,0.3,7,0.07131025195121765,[128]
1,64,0.3,7,0.07172609865665436,[64]
1,32,0.3,5,0.07218332588672638,[32]
1,128,0.05,7,0.07377939671278,[128]
1,32,0.45,5,0.07427868247032166,[32]
1,32,0.3,8,0.07462003082036972,[32]
1,64,0.15,7,0.07529734820127487,[64]
