method,hidden,dropout,n_segments,MAE,RMSE,R2,mean_uncertainty,trials,time_s,best_val_loss
Grid Search,"[128, 128, 128]",0.05,2,0.2351,0.3875,0.9941,0.0122,216,1169.6,0.020426
Bayesian TPE,"[128, 96, 64]",0.055,4,0.1599,0.1976,0.9986,0.0132,80,612.4,0.024162
