method,hidden,dropout,n_segments,MAE,RMSE,R2,mean_uncertainty,trials,time_s,best_val_loss
Grid Search,"[64, 64, 64]",0.3,2,0.4526,0.6414,0.9838,0.0343,216,1002.3,0.022082
Bayesian TPE,"[128, 128]",0.065,2,0.3771,0.6383,0.984,0.0143,80,237.2,0.020965
