n_layers,units,dropout,n_segments,val_loss,hidden
3,128,0.3,6,0.04545227810740471,"[128, 128, 128]"
3,64,0.45,8,0.0454573854804039,"[64, 64, 64]"
2,32,0.05,4,0.04561194032430649,"[32, 32]"
2,32,0.05,5,0.04567620903253555,"[32, 32]"
3,32,0.05,6,0.0457548126578331,"[32, 32, 32]"
3,32,0.3,6,0.045922841876745224,"[32, 32, 32]"
3,32,0.15,6,0.046085938811302185,"[32, 32, 32]"
2,32,0.3,8,0.04639088362455368,"[32, 32]"
3,128,0.15,5,0.04663962870836258,"[128, 128, 128]"
2,128,0.45,6,0.0472864955663681,"[128, 128]"
2,64,0.15,5,0.0477362722158432,"[64, 64]"
1,64,0.05,4,0.04790010675787926,[64]
2,64,0.45,6,0.0479733869433403,"[64, 64]"
3,64,0.05,7,0.0482492595911026,"[64, 64, 64]"
1,64,0.05,8,0.04867885261774063,[64]
2,64,0.3,5,0.048968635499477386,"[64, 64]"
3,64,0.15,5,0.04902271181344986,"[64, 64, 64]"
1,128,0.3,4,0.049241311848163605,[128]
2,128,0.3,5,0.049320053309202194,"[128, 128]"
1,128,0.05,8,0.049330540001392365,[128]
3,128,0.05,7,0.0494813546538353,"[128, 128, 128]"
1,128,0.45,4,0.05010368674993515,[128]
1,128,0.15,8,0.05033513903617859,[128]
1,64,0.15,4,0.050382498651742935,[64]
2,32,0.15,5,0.050474394112825394,"[32, 32]"
1,128,0.3,6,0.05051930248737335,[128]
2,32,0.3,6,0.05052219703793526,"[32, 32]"
2,128,0.45,5,0.05052310228347778,"[128, 128]"
2,32,0.15,4,0.0510585755109787,"[32, 32]"
2,64,0.45,4,0.05108455941081047,"[64, 64]"
3,64,0.45,6,0.05168108642101288,"[64, 64, 64]"
2,32,0.45,6,0.051845476031303406,"[32, 32]"
3,32,0.15,5,0.052117157727479935,"[32, 32, 32]"
1,64,0.05,6,0.05223112553358078,[64]
3,128,0.3,5,0.052469391375780106,"[128, 128, 128]"
3,64,0.15,7,0.05250569432973862,"[64, 64, 64]"
1,64,0.15,8,0.05255840718746185,[64]
1,64,0.15,6,0.052876077592372894,[64]
1,128,0.15,5,0.05309414491057396,[128]
3,64,0.3,7,0.05309527367353439,"[64, 64, 64]"
3,32,0.45,8,0.053455617278814316,"[32, 32, 32]"
3,32,0.3,4,0.053642693907022476,"[32, 32, 32]"
1,64,0.3,4,0.053672850131988525,[64]
1,64,0.15,5,0.053856201469898224,[64]
1,32,0.15,6,0.0541011318564415,[32]
1,64,0.05,5,0.0542585514485836,[64]
2,32,0.45,4,0.05443877354264259,"[32, 32]"
1,128,0.3,5,0.05465824529528618,[128]
1,64,0.3,8,0.055209994316101074,[64]
3,64,0.3,5,0.05523376166820526,"[64, 64, 64]"
2,32,0.3,5,0.05538966506719589,"[32, 32]"
3,128,0.3,7,0.05552639439702034,"[128, 128, 128]"
1,128,0.45,6,0.05556489899754524,[128]
2,32,0.3,4,0.05604652315378189,"[32, 32]"
1,32,0.05,4,0.056379083544015884,[32]
3,128,0.45,7,0.05674116313457489,"[128, 128, 128]"
1,128,0.3,8,0.056853920221328735,[128]
1,64,0.3,6,0.05720695108175278,[64]
3,32,0.15,7,0.05722973495721817,"[32, 32, 32]"
1,64,0.45,4,0.05726362764835358,[64]
1,64,0.45,6,0.05729682743549347,[64]
3,64,0.45,4,0.05742369219660759,"[64, 64, 64]"
2,32,0.45,8,0.05804859474301338,"[32, 32]"
1,32,0.05,6,0.058198098093271255,[32]
1,64,0.3,5,0.05847598612308502,[64]
3,32,0.3,5,0.05867945775389671,"[32, 32, 32]"
1,128,0.45,5,0.05869210511445999,[128]
3,128,0.45,5,0.05874258652329445,"[128, 128, 128]"
1,32,0.15,8,0.058896616101264954,[32]
2,64,0.3,7,0.059781789779663086,"[64, 64]"
2,64,0.15,7,0.0599655956029892,"[64, 64]"
2,128,0.15,7,0.06018742918968201,"[128, 128]"
1,128,0.45,8,0.06018941476941109,[128]
3,32,0.05,7,0.06058108061552048,"[32, 32, 32]"
3,32,0.45,6,0.06064555421471596,"[32, 32, 32]"
2,128,0.45,7,0.06092577427625656,"[128, 128]"
3,128,0.15,7,0.06101121008396149,"[128, 128, 128]"
2,32,0.45,5,0.06135692074894905,"[32, 32]"
1,32,0.05,5,0.06137293577194214,[32]
2,64,0.45,5,0.06174251437187195,"[64, 64]"
1,32,0.3,4,0.061756543815135956,[32]
1,32,0.15,4,0.06183371692895889,[32]
3,64,0.45,7,0.06225619465112686,"[64, 64, 64]"
2,32,0.15,7,0.06270264834165573,"[32, 32]"
3,32,0.3,7,0.06275348365306854,"[32, 32, 32]"
2,128,0.3,7,0.06283427029848099,"[128, 128]"
1,64,0.45,8,0.06322135031223297,[64]
3,64,0.45,5,0.06409792602062225,"[64, 64, 64]"
1,32,0.45,4,0.06435588002204895,[32]
2,32,0.3,7,0.06460445374250412,"[32, 32]"
1,32,0.15,5,0.06503800302743912,[32]
1,32,0.3,6,0.06570682674646378,[32]
1,64,0.45,5,0.06632551550865173,[64]
2,128,0.05,7,0.06660863757133484,"[128, 128]"
1,32,0.05,8,0.06701977550983429,[32]
1,32,0.3,8,0.06713691353797913,[32]
2,64,0.45,7,0.06720510870218277,"[64, 64]"
3,32,0.45,5,0.06878045201301575,"[32, 32, 32]"
2,64,0.05,7,0.06912142038345337,"[64, 64]"
1,32,0.3,5,0.06943710893392563,[32]
1,128,0.15,7,0.07092684507369995,[128]
2,32,0.05,7,0.07100823521614075,"[32, 32]"
3,32,0.45,4,0.07112245261669159,"[32, 32, 32]"
1,128,0.05,7,0.07273700088262558,[128]
1,64,0.05,7,0.07306630164384842,[64]
2,32,0.45,7,0.07373735308647156,"[32, 32]"
1,128,0.3,7,0.07395058870315552,[128]
1,64,0.15,7,0.07435592263936996,[64]
1,32,0.45,6,0.07469659298658371,[32]
1,128,0.45,7,0.07516919076442719,[128]
1,32,0.45,5,0.0758269727230072,[32]
1,64,0.45,7,0.0825410932302475,[64]
1,32,0.15,7,0.08304191380739212,[32]
3,32,0.45,7,0.08392290771007538,"[32, 32, 32]"
1,32,0.05,7,0.08442874997854233,[32]
1,64,0.3,7,0.09295772016048431,[64]
1,32,0.45,8,0.0975249633193016,[32]
1,32,0.45,7,0.11228569597005844,[32]
1,32,0.3,7,0.11790167540311813,[32]
