Ae (mm),Ap (mm),f (mm/min),N (rpm),R (mm),Z,fz,Vc,sim_file,phi_eng_deg,phi_out_deg,phi_in_deg,sigma_run_Nmm,snr_db
40,1.0,505.6,2108.0,20,2,0.11992409867172676,264.8990925506913,sim_032_ae40_ap1_N2108.0_fz0.1199.csv,180.0,180.0,0.0,0.2009737302579162,14.764115872468393
38,1.0,505.6,2108.0,20,2,0.11992409867172676,264.8990925506913,sim_033_ae38_ap1_N2108.0_fz0.1199.csv,154.15806723683286,180.0,25.841932763167126,0.22057644973646012,16.589312510612277
32,1.0,505.6,2108.0,20,2,0.11992409867172676,264.8990925506913,sim_034_ae32_ap1_N2108.0_fz0.1199.csv,126.86989764584403,180.0,53.13010235415596,0.175316862980645,18.081356629896845
26,1.0,505.6,2108.0,20,2,0.11992409867172676,264.8990925506913,sim_035_ae26_ap1_N2108.0_fz0.1199.csv,107.4576031237221,180.0,72.5423968762779,0.18360085946547233,18.239345202210902
40,1.0,568.8000000000001,2148.591731740587,20,2,0.13236577047124998,270.0,sim_036_ae40_ap1_N2148.6_fz0.1324.csv,180.0,180.0,0.0,0.19346025311350068,15.421757060163188
38,1.0,568.8000000000001,2148.591731740587,20,2,0.13236577047124998,270.0,sim_037_ae38_ap1_N2148.6_fz0.1324.csv,154.15806723683286,180.0,25.841932763167126,0.21189167211368734,17.249359544501115
32,1.0,568.8000000000001,2148.591731740587,20,2,0.13236577047124998,270.0,sim_038_ae32_ap1_N2148.6_fz0.1324.csv,126.86989764584403,180.0,53.13010235415596,0.19280612595916718,18.743941378568202
26,1.0,568.8000000000001,2148.591731740587,20,2,0.13236577047124998,270.0,sim_039_ae26_ap1_N2148.6_fz0.1324.csv,107.4576031237221,180.0,72.5423968762779,0.18659399389143466,18.90066500372976
40,1.0,632.0,2029.2255244216656,20,2,0.15572443584852935,255.0,sim_040_ae40_ap1_N2029.2_fz0.1557.csv,180.0,180.0,0.0,0.2103050776767904,16.508986141349332
38,1.0,632.0,2029.2255244216656,20,2,0.15572443584852935,255.0,sim_041_ae38_ap1_N2029.2_fz0.1557.csv,154.15806723683286,180.0,25.841932763167126,0.20618702265230307,18.336875953774324
32,1.0,632.0,2029.2255244216656,20,2,0.15572443584852935,255.0,sim_042_ae32_ap1_N2029.2_fz0.1557.csv,126.86989764584403,180.0,53.13010235415596,0.23349070611381056,19.831174582899358
